customer_id,email,first_name,last_name,created_at,updated_at
1,JOHN.DOE@EMAIL.COM,John,Doe,2023-01-15,2023-01-15
2,jane.smith@email.com,Jane,Smith,2023-02-20,2023-03-10
3,bob.johnson@email.com,Bob,Johnson,2023-03-10,2023-03-10
4,alice.williams@email.com,Alice,Williams,2023-04-05,2023-04-05
5,charlie.brown@email.com,Charlie,Brown,2023-05-12,2023-06-15
6,diana.miller@email.com,Diana,Miller,2023-06-18,2023-06-18
7,edward.davis@email.com,Edward,Davis,2023-07-22,2023-07-22
8,fiona.garcia@email.com,Fiona,Garcia,2023-08-30,2023-09-01
9,george.martinez@email.com,George,Martinez,2023-09-14,2023-09-14
10,hannah.lopez@email.com,Hannah,Lopez,2023-10-25,2023-11-05
